date,iso,zone,he01,he02,he03,he04,he05,he06,he07,he08,he09,he10,he11,he12,he13,he14,he15,he16,he17,he18,he19,he20,he21,he22,he23,he24
2019-06-19,NYISO,HQ,16.14,15.57,15.08,14.25,14.56,13.33,19.31,12.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.51,28.27,24.26,24.57,24.58,20.24,16.01,16.46
2019-01-02,NYISO,CAPITL,9.73,14.13,5.26,6.64,5.94,12.3,21.53,27.03,29.65,24.84,25.23,21.16,21.27,24.38,28.12,30.02,31.86,74.51,59.75,30.71,28.27,25.21,28.6,27.03
2019-01-02,NYISO,CENTRL,9.27,12.23,5.02,6.32,5.64,9.85,19.76,25.52,27.97,23.57,24.01,20.2,20.37,23.35,26.79,28.52,30.12,70.32,56.18,28.99,26.52,23.42,18.31,14.41
2019-01-02,NYISO,DUNWOD,9.69,13.71,5.22,6.59,5.9,11.69,21.14,26.9,29.7,25.06,25.46,21.37,21.52,24.67,28.39,30.29,32.06,74.82,60.28,31.26,28.59,25.29,25.76,23.42
2019-01-02,NYISO,GENESE,8.84,11.58,4.86,6.12,5.47,9.5,19.1,24.81,27.18,22.91,23.3,19.61,19.16,22.87,26.46,28.33,29.44,68.27,54.46,27.99,25.67,22.64,17.18,13.52
2019-01-02,NYISO,HQ,8.71,11.3,4.72,5.97,5.33,9.02,18.57,24.0,26.4,22.26,22.65,19.06,19.13,21.88,25.18,26.93,28.58,57.31,53.59,27.61,25.24,22.17,16.09,12.1
2019-01-02,NYISO,HUD_VL,9.66,13.68,5.22,6.59,5.89,11.68,21.11,26.85,29.58,24.92,25.33,21.26,21.4,24.53,28.25,30.15,31.94,74.73,60.12,31.14,28.48,25.19,25.77,23.45
2019-01-02,NYISO,LONGIL,9.96,14.04,5.35,6.75,6.05,11.97,21.88,27.99,30.92,26.27,30.23,23.14,21.97,25.01,29.1,31.15,35.39,76.5,61.79,32.24,29.44,29.42,26.43,23.84
2019-01-02,NYISO,MHK_VL,9.23,12.19,5.0,6.32,5.65,9.89,19.88,25.73,28.28,23.82,24.21,20.34,20.44,23.4,26.9,28.69,30.44,71.52,57.18,29.46,26.9,23.65,18.45,14.56
2019-01-02,NYISO,MILLWD,9.69,13.71,5.22,6.59,5.89,11.7,21.14,26.9,29.68,25.02,25.44,21.34,21.48,24.63,28.36,30.25,32.05,74.9,60.32,31.26,28.6,25.29,25.88,23.57
2019-01-02,NYISO,NYC,9.75,13.79,5.26,6.64,5.93,11.75,21.27,27.09,4.8,13.53,19.93,15.21,19.64,22.51,28.64,26.36,32.27,73.4,59.18,30.1,27.87,25.46,25.87,23.51
2019-01-02,NYISO,NORTH,8.69,11.28,4.72,5.99,5.34,9.07,18.7,24.22,26.66,22.49,22.87,19.24,19.32,22.08,25.4,27.2,28.88,68.01,54.2,27.83,25.41,22.24,16.1,12.12
2019-01-02,NYISO,NPX,11.21,13.91,5.22,6.6,5.9,11.98,21.2,26.75,29.46,24.66,25.15,21.09,21.22,24.35,28.08,29.95,31.78,64.18,59.54,29.81,29.47,25.16,27.32,25.41
2019-01-02,NYISO,OH,8.7,11.42,4.87,6.1,5.44,9.48,18.78,24.34,26.55,22.37,22.79,19.18,18.43,20.56,23.35,25.26,27.8,65.85,52.57,26.96,24.85,22.09,16.9,13.64
2019-01-02,NYISO,PJM,10.18,14.07,5.14,6.46,5.76,10.8,20.58,26.04,28.56,24.09,24.53,20.6,23.37,27.51,31.73,32.41,31.84,61.57,57.32,30.28,27.11,24.1,23.22,19.06
2019-01-02,NYISO,WEST,12.0,16.29,4.99,6.24,5.56,9.69,20.56,25.06,27.32,23.02,23.47,19.75,29.62,39.01,44.12,40.67,33.68,67.54,53.83,31.17,25.38,22.57,22.84,13.83
2019-01-03,NYISO,CAPITL,28.47,24.29,23.58,22.09,19.56,23.44,27.08,29.44,29.04,29.4,26.78,26.01,25.39,24.17,23.57,23.42,29.43,27.65,34.95,25.42,23.51,22.28,22.34,22.29
2019-01-03,NYISO,CENTRL,22.24,22.19,21.33,20.7,16.9,18.15,17.97,23.59,27.18,27.79,25.28,24.03,23.84,22.68,22.2,22.08,27.67,25.76,32.47,23.13,21.85,20.93,20.27,17.41
2019-01-03,NYISO,DUNWOD,26.84,23.9,23.2,21.92,19.07,22.3,24.74,28.32,29.37,29.92,27.3,26.35,25.81,24.49,23.95,23.84,29.85,28.03,35.28,25.57,23.85,22.71,22.53,21.49
2019-01-03,NYISO,GENESE,21.22,21.31,20.46,19.89,16.26,17.41,17.13,22.68,26.3,27.24,24.47,23.24,23.07,21.92,21.42,21.28,26.92,24.78,31.38,22.79,21.24,20.51,19.43,16.57
2019-01-03,NYISO,HQ,20.67,21.29,20.58,20.05,16.16,16.88,15.98,21.94,25.82,26.33,23.99,22.66,22.6,21.56,21.09,20.96,26.5,24.75,30.76,21.94,20.8,19.95,19.25,16.17
